Request,Tiempo Actualizar,Tiempo Llave
1,203,327
2,202,203
3,203,218
4,202,203
5,187,203
6,202,205
7,219,205
8,203,218
9,187,204
10,205,250
11,218,375
12,203,203
13,203,218
14,203,203
15,219,421
16,203,202
17,203,436
18,203,218
19,203,218
20,202,219
21,203,227
22,187,203
23,203,220
24,203,203
25,203,220
26,203,189
27,203,360
28,205,202
29,190,296
30,188,327
31,205,203
32,218,203
33,218,250
34,218,203
35,219,577
36,221,530
37,203,548
38,218,219
39,202,203
40,188,220
41,203,219
42,203,392
43,203,203
44,190,203
45,202,203
46,189,220
47,203,672
48,203,203
49,219,517
50,218,218
51,219,249
52,202,393
53,203,330
54,202,220
55,203,345
56,203,203
57,204,751
58,203,533
59,203,203
60,203,205
61,219,203
62,203,203
63,209,312
64,207,374
65,220,203
66,221,343
67,219,485
68,203,203
69,204,312
70,202,205
71,207,203
72,203,202
73,203,281
74,219,296
75,203,219
76,203,218
77,218,203
78,218,234
79,218,203
80,203,205
81,203,204
82,220,203
83,219,609
84,218,410
85,202,221
86,218,501
87,219,205
88,203,251
89,205,218
90,219,421
91,205,218
92,204,202
93,203,421
94,202,281
95,203,204
96,203,203
97,203,203
98,219,265
99,203,391
100,218,297
101,205,296
102,203,218
103,203,501
104,203,218
105,203,218
106,218,205
107,203,219
108,203,203
109,203,390
110,203,218
111,202,219
112,203,219
113,219,423
114,218,533
115,218,220
116,220,204
117,220,219
118,234,281
119,203,204
120,203,296
121,219,218
122,203,202
123,203,203
124,219,531
125,202,203
126,202,219
127,202,236
128,203,218
129,187,296
130,204,203
131,204,219
132,203,203
133,203,219
134,202,203
135,203,203
