Request,Tiempo Actualizar,Tiempo Llave
1,2996,1474
2,3440,2923
3,3857,2701
4,2418,1101
5,3200,1874
6,2412,1173
7,4176,3138
8,2749,2915
9,2844,1029
10,4128,1506
11,3355,1220
12,4151,1611
13,3485,2091
14,4836,2398
15,4058,1543
16,4953,1393
17,3489,1720
18,2392,2353
19,4234,2146
20,4475,2415
21,2635,994
22,4109,2266
23,5246,2940
24,3283,2122
25,2861,2505
26,3026,1466
27,3687,1597
28,4886,3118
29,4187,2666
30,2441,2943
31,3788,2841
32,3025,1937
33,4037,1114
34,2235,2818
35,4854,1014
36,2124,1844
37,2628,2310
38,4893,1475
39,4628,2373
40,4774,1537
41,4676,1999
42,4727,992
43,4785,1546
44,2669,1358
45,5151,2809
46,4566,3085
47,4165,2405
48,3542,1111
49,2838,1904
50,2461,1217
51,2614,2764
52,2511,2759
53,4215,1069
54,3716,3135
55,2890,2273
56,3979,2891
57,2468,1654
58,2479,1611
59,4041,2117
60,3806,3109
61,2161,1676
62,2245,2837
63,2614,2646
64,4296,1399
65,4538,1346
66,2130,1272
67,4990,1851
68,2291,1428
69,3748,2548
70,2397,1700
71,3080,2259
72,5131,2078
73,2472,2725
74,2722,1105
75,2359,2045
76,2937,2138
77,3302,1991
78,3603,1371
79,2348,2015
80,2973,3109
81,4728,1482
82,2960,2704
83,4943,1887
84,3497,2554
85,2129,2797
86,3964,2105
87,2786,2507
88,4855,1079
89,3501,3097
90,4250,2299
91,4896,1419
92,3754,2497
93,5217,1438
94,3813,2038
95,3936,1220
96,3714,1694
97,4198,1930
98,3916,2723
99,4821,1961
100,4858,2908
101,3349,1517
102,3774,2993
103,4899,1510
104,4376,1322
105,3966,1461
106,2489,2026
107,2645,2264
108,2975,1253
109,5195,2218
110,4286,2845
111,2502,3106
112,4648,2977
113,3558,2250
114,2696,2475
115,4146,1854
116,2246,1783
117,4002,2652
118,2788,1760
119,2964,2845
120,2946,1168
121,3108,1003
122,3741,1866
123,3467,2048
124,4411,1180
125,4586,2010
126,4837,1462
127,4542,1069
128,4148,1304
129,3646,2093
130,3377,2679
131,3743,2404
132,4419,2187
133,4579,2400
134,3421,1315
135,2855,1740
136,5045,2258
137,4392,1392
138,2492,2068
139,5179,2376
140,3739,1921
141,4816,2521
142,4736,3138
143,3337,1702
144,3826,1861
145,5191,1345
146,4809,1684
147,3777,1190
148,4113,2544
149,2776,1148
150,4048,1636
151,5047,1842
152,3358,1754
153,4437,2723
154,4307,2455
155,2680,2165
156,4388,2669
157,3140,1084
158,5136,1704
159,3664,2118
160,4449,2972
161,4858,2923
162,3656,2799
163,2421,1940
164,3082,1979
165,2188,2527
166,2969,2952
167,2329,1727
168,2134,2546
169,2597,1073
170,2321,2587
171,2705,2693
172,4497,998
173,5124,2695
174,3859,1410
175,3497,1488
176,2885,3127
177,4732,1892
178,2372,1287
179,3202,1824
180,3911,2889
181,2293,1141
182,4700,2853
183,2433,1647
184,3116,3013
185,4885,1258
186,4732,1246
187,4057,1186
188,4242,2806
189,5080,1326
190,4150,2764
191,3604,1611
192,2112,1016
193,2682,1901
194,4419,1116
195,4990,2137
196,2763,1577
197,2918,2571
198,3499,1952
199,4592,2537
200,3538,2069
201,2285,1964
202,3092,2615
203,5242,2464
204,2836,2118
205,2885,2156
206,4189,1741
207,3856,1339
208,2988,2356
209,3789,1974
210,5157,1602
211,3693,2003
212,5227,3029
213,4030,1888
214,4393,1923
215,2136,1115
216,5211,1735
217,4844,1114
218,3208,1350
219,2641,2240
220,4476,1080
221,2724,1139
222,5224,1557
223,2481,2083
224,3860,2818
225,2165,1040
226,2602,2712
227,4418,1633
228,3578,2937
229,2151,1636
230,3214,1115
231,4447,2743
232,3822,1372
233,5073,2744
234,3878,2949
235,5159,1625
236,4794,3047
237,4258,3032
238,3982,1210
239,4703,1269
240,3030,2637
241,3981,1620
242,2804,2957
243,2621,1332
244,3071,1844
245,3623,3135
246,5032,2780
247,3704,2450
248,5188,2201
249,3468,3017
250,5047,2658
251,5265,2484
252,2163,2887
253,3268,1315
254,2124,1566
255,3160,1832
256,2861,3131
257,2476,2519
258,4062,1393
259,3903,2229
260,3228,2679
261,4967,1865
262,3743,1635
263,2882,2674
264,2307,2522
265,5295,1631
266,2921,2281
267,3797,1336
268,3024,1934
269,2121,1699
270,4472,1476
271,4837,2177
272,2208,1576
273,5276,2353
274,2350,2234
275,3290,2261
276,3737,2976
277,4870,2161
278,4782,1073
279,5028,1189
280,3684,2369
281,3045,1763
282,3612,1006
283,4565,1892
284,2753,2473
285,4788,2007
286,3967,1637
287,3948,2505
288,2189,1069
289,4269,1182
290,5027,2931
291,3728,1916
292,5263,1487
293,3063,2516
294,4947,3145
295,3702,2460
296,4774,1275
297,3342,2218
298,2278,1278
299,4825,2684
300,2608,2077
301,4719,1098
302,4543,1052
303,5085,1707
304,2897,2575
305,3358,2620
306,4341,1467
307,3148,2110
308,4984,1631
309,3031,1968
310,4831,2844
311,3673,2117
312,4370,2680
313,4570,1718
314,4390,2365
315,3257,2678
316,2668,2133
317,3535,1518
318,5056,2723
319,3770,2469
320,5264,1181
321,3049,2558
322,3151,1208
323,2233,2906
324,5007,2774
325,2678,2954
326,3399,2600
327,3065,1149
328,4067,3061
329,4311,1378
330,2378,2509
331,3324,2205
332,2273,2272
333,3511,3119
334,2664,1156
335,2571,1408
336,3079,2555
337,2739,2883
338,4220,2075
339,3808,1317
340,2310,1627
341,5001,2473
342,4454,1352
343,2737,2207
344,4334,2865
345,3050,2320
;;
346,2700,1897
347,2821,2396
348,5073,1035
349,3549,2295
350,3925,2679
351,3283,2207
352,4926,3099
353,4238,1598
354,4579,2472
355,3770,1066
356,3164,1398
357,2700,2553
358,3642,2112
359,4427,2886
360,4885,1559
361,4747,2245
362,3675,2955
363,3766,2501
364,4667,3079
365,5035,1109
366,3347,1138
367,2751,1513
368,2846,1196
369,4422,2004
370,5066,2884
371,3993,2700
372,2463,2356
373,2233,2807
374,3409,3001
375,5070,2321
376,2324,2880
377,2739,982
378,2108,1083
379,4094,2667
380,5216,1205
381,4966,2504
382,3078,1805
383,2309,1077
384,3636,2816
385,5036,1526
386,2971,2858
387,2713,2071
388,3065,2213
389,3363,2883
390,3484,1563
391,5046,1740
392,4192,2210
393,3589,2124
394,3856,2278
395,4699,2911
396,3823,2431
397,3852,2555
398,3045,1315
399,4205,2624
400,3037,2115
401,4662,2560
402,2278,2738
403,2190,1337
404,4533,1448
405,4859,2449
406,3735,2190
407,2757,1678
408,2749,2276
409,4845,1327
410,3304,1540
411,4470,2380
412,2175,2209
413,4298,2165
414,3755,2241
415,3018,1714
416,2825,2360
417,4516,1166
418,2316,2280
419,2534,2060
420,2809,2919
421,5177,2139
422,3390,2883
423,4723,1192
424,4297,1259
425,3979,1311
426,4146,1694
427,5036,2323
428,4144,1826
429,3145,2569
430,3954,2606
431,4900,1577
432,4494,2992
433,4015,2716
434,2375,3053
435,3016,1650
436,4561,1547
437,4437,1587
438,4460,2428
439,2890,1071
440,5010,3103
441,3047,2641
442,3398,2222
443,2631,1210
444,5060,1471
445,3389,1679
446,2300,2736
447,3895,1867
448,2392,1728
449,4337,1941
450,2161,1456
451,4787,2384
452,4823,2150
453,2418,2444
454,4807,1642
455,2858,2959
456,3960,2101
457,4575,1206
458,4599,3136
459,2592,1087
460,5007,2361
461,3037,2240
462,3496,2876
463,2795,1038
464,2460,1345
465,5172,1955
466,2921,2323
467,4902,3049
468,3063,1903
469,4580,1061
470,4436,1403
471,3275,1203
472,3476,2959
473,3245,1253
474,2195,1576
475,3581,2540
476,3799,1363
477,2090,2136
478,5249,1793
479,3951,2886
480,2176,2201
481,4302,1090
482,5017,2179
483,3923,2993
484,3927,2896
485,2243,2250
486,4111,1516
487,2089,1337
488,3386,2510
489,2827,2622
490,3074,2048
491,2639,3103
492,2998,1983
493,4975,1306
494,2832,1020
495,3945,1323
496,3658,1507
497,3595,2172
498,3203,1710
499,2562,1060
500,2394,1399
501,3436,1573
502,3141,2155
503,2345,3052
504,2364,2521
505,4475,1397
506,4196,2180
507,4728,2130
508,2889,3152
509,3651,1276
510,3666,1633
511,3891,2394
512,3256,1875
513,4613,3008
514,3784,1208
515,3924,1636
516,2177,1122
517,4011,2397
518,4816,2886
519,3892,1155
520,5130,2365
521,4211,1855
522,2255,2247
523,2934,1445
524,3746,1053
525,5119,2456
526,2847,1663
527,3857,1249
528,3889,1328
529,4288,2372
530,3692,2566
531,3066,1953
532,3104,2396
533,5159,1013
534,2441,2046
535,5166,1092
536,5133,1898
537,3319,1960
538,3534,1377
539,4535,1451
540,4110,2163
541,3534,1616
542,4114,3086
543,4866,2595
544,3982,1190
545,2858,1720
546,3440,2200
547,2261,2222
548,4716,2395
549,3534,1542
550,2850,1539
551,4803,1335
552,2250,1296
553,4905,1153
554,3169,1980
555,3194,2028
556,5201,1111
557,2726,1992
558,3609,986
559,5143,2247
560,4780,1439
561,2639,3152
562,4809,2801
563,4433,2676
564,2691,1365
565,3660,2688
566,3135,1568
567,3251,2761
568,3653,2168
569,4648,2394
570,2705,2579
571,4769,2056
572,2808,1607
573,3095,1049
574,5031,1533
575,2439,1611
576,5070,2060
577,3861,1272
578,2409,2014
579,4244,2452
580,3250,1360
581,2494,2881
582,2724,2033
583,4184,2469
584,4212,1226
585,5106,1373
586,2527,1241
587,2483,3089
588,4985,1139
589,2767,2461
590,3200,1949
591,3205,3051
592,4976,2989
593,3408,1648
594,4636,1935
595,3932,2136
596,4842,1982
597,3837,2927
598,3912,2476
599,2417,2232
600,2301,2399
601,3596,2184
602,5005,1048
603,3732,1064
604,4836,2654
605,2683,2155
606,4129,2831
607,2804,2679
608,4970,1247
609,4961,1851
610,2775,1324
611,2699,2181
612,2194,1922
613,4974,1163
614,3402,2025
615,3448,2611
616,3080,2121
617,2745,2097
618,5258,2774
619,2875,2386
620,3848,3089
621,3407,2687
622,5072,1127
623,4920,1231
624,4069,2245
625,4933,1094
626,3332,3075
627,3618,2564
628,4258,2302
629,4275,1940
630,3009,2673
631,5110,2252
632,4624,1685
633,3063,2508
634,3603,2215
635,2878,2469
636,3296,1800
637,4533,2866
638,3424,2117
639,3298,2996
640,5177,1214
641,2341,1677
642,4932,2249
643,5203,3125
644,4557,3061
645,4729,1407
646,5189,1598
647,4154,1397
648,3133,1064
649,4362,1777
650,2811,2323
651,4655,1717
652,2106,1721
653,3269,2479
654,4630,2646
655,3348,1461
656,2831,3071
657,3172,2651
658,3178,1807
659,5019,2563
660,2891,1586
661,3284,1328
662,2407,1171
663,5065,2273
664,5247,1242
665,3190,1298
;;
666,2791,1063
667,5191,3131
668,2563,997
669,3603,2198
670,4438,3075
671,4478,3105
672,2816,2715
673,2708,3079
674,3566,1280
675,4589,1058
676,3368,1429
677,2990,2686
678,4764,3131
679,4925,1536
680,4190,1910
681,4385,1890
682,3957,2924
683,2095,1838
684,5211,1444
685,4640,2083
686,5242,1375
687,3348,1509
688,2317,2688
689,2957,2288
690,4100,1041
691,2209,2884
692,3805,1015
693,5242,2742
694,3455,3032
695,2580,1997
696,3613,2554
697,5173,2761
698,3293,2846
699,4468,2101
700,3976,1041
701,4687,2553
702,5132,2197
703,3790,2498
704,4796,1895
705,4020,2644
706,2551,1908
707,4671,2610
708,3613,1069
709,4868,1641
710,2733,2752
711,5022,996
712,3032,1275
713,3359,1774
714,3568,1029
715,4300,1958
716,2275,2707
717,4610,2923
718,2790,1340
719,4074,2710
720,3314,3017
721,4466,2229
722,3518,1102
723,3649,1760
724,2286,2638
725,5098,2565
726,3469,1257
727,3970,1135
728,4313,2783
729,4206,1080
730,4256,2877
731,2625,1916
732,2464,3084
733,4989,3061
734,4552,1785
735,2988,2900
736,5136,1876
737,4952,1768
738,3168,2661
739,2549,2780
740,3830,1120
741,4859,2323
742,4011,3141
743,3021,2006
744,2811,2545
745,3806,2132
746,3560,2557
747,3114,3012
748,5039,2325
749,2209,2110
750,3790,1702
751,3263,1905
752,4537,2619
753,5151,2197
754,2825,2831
755,3989,2464
756,4588,2769
757,4141,2800
758,3474,1819
759,2164,2344
760,3132,1332
761,2134,1028
762,4453,1285
763,2360,2115
764,3482,1698
765,4027,1373
766,4073,3043
767,3178,1136
768,3401,2612
769,2554,2316
770,3121,1777
771,2676,1429
772,2567,3121
773,4102,1048
774,4755,1153
775,4378,2421
776,3450,2510
777,3582,2211
778,4997,1976
779,3104,1394
780,3980,2838
781,2533,2994
782,2304,1249
783,2337,2050
784,4884,1702
785,2649,2302
786,4330,1441
787,3975,2761
788,5084,2398
789,4928,2631
790,2197,2437
791,3545,2287
792,5263,2727
793,3939,1787
794,3885,1327
795,3539,2742
796,2449,2071
797,3078,2983
798,4439,2450
799,2795,1052
800,2133,2847
801,3958,1725
802,3998,2440
803,4431,1215
804,3368,2782
805,4303,2135
806,5042,1307
807,2151,1221
808,5005,2254
809,3125,1152
810,3691,2488
811,4669,2158
812,2632,2339
813,2584,2727
814,4813,1841
815,2360,1369
816,4402,2798
817,3431,2452
818,2757,1624
819,2811,1712
820,3987,1415
821,3072,2777
822,3750,1003
823,2452,1920
824,4915,2607
825,3351,2292
826,2729,2804
827,2313,1946
828,4037,2385
829,2786,2999
830,3540,1592
831,3096,2516
832,3386,3088
833,5214,1850
834,4900,1703
835,5098,2717
836,4518,1025
837,3937,2271
838,3007,2084
839,5250,2342
840,5289,1189
841,5196,1266
842,4975,1026
843,5115,1077
844,2401,1473
845,5073,2015
846,5183,1372
847,5009,1228
848,2354,1535
849,2701,1383
850,5061,1118
851,3445,2655
852,2291,2575
853,3173,1544
854,3416,1856
855,3147,2942
856,4649,1529
857,3082,2449
858,3512,2181
859,2088,2647
860,4869,1693
861,2091,3141
862,5130,2727
863,3079,2329
864,3167,2538
865,3047,2470
866,4955,2820
867,5163,2259
868,2842,1626
869,4909,2366
870,3894,1791
871,3367,2167
872,4174,1484
873,2790,2873
874,4327,2411
875,2551,1895
876,4577,2921
877,2786,2524
878,4932,2810
879,2234,1464
880,3806,1442
881,2370,2762
882,3476,3108
883,3355,2770
884,3513,1407
885,4248,2275
886,3787,1229
887,3892,3003
888,4691,2865
889,5283,1951
890,2248,2907
891,4504,2509
892,4813,3041
893,2555,2550
894,3937,1554
895,2265,1674
896,2229,1746
897,3667,1385
898,4561,2407
899,2772,1892
900,2996,996
901,3036,2281
902,2353,2471
903,4843,2046
904,4018,2896
905,4594,1568
906,4150,2224
907,2746,1655
908,2760,1142
909,5096,3088
910,3226,2370
911,5092,2718
912,2412,2684
913,4618,2170
914,3381,2254
915,5270,1480
916,2677,2779
917,3394,2066
918,4966,2950
919,5225,2842
920,2483,2768
921,4707,3095
922,4227,2767
923,3947,2265
924,2901,2449
925,3681,2101
926,4062,1106
927,4935,1909
928,5114,2868
929,3437,2726
930,4541,1820
931,5235,1246
932,3098,1854
933,2841,1917
934,2790,1759
935,3088,2342
936,4848,2350
937,5095,2446
938,3732,1482
939,3177,1243
940,2650,2411
941,4736,1770
942,3474,3107
943,2665,2923
944,3503,1778
945,2657,2277
946,5102,1331
947,5170,2342
948,4689,1000
949,2805,2682
950,4136,3033
951,3138,2729
952,5041,1479
953,3149,3157
954,2171,2864
955,5197,1702
956,3411,1099
957,4341,2826
958,2434,2650
959,2170,1249
960,2606,1675
961,4892,1463
962,5253,3132
963,3945,2828
964,4154,1639
965,4203,3066
966,2585,1674
967,4318,3089
968,3121,1340
969,3275,2549
970,5041,3079
971,4907,2896
972,3668,1827
973,4043,1204
974,3056,2007
975,3854,1921
976,2549,1059
977,4719,2848
978,3587,2462
979,4190,2348
980,2197,2465
981,3539,2580
982,2728,2139
983,2796,2797
984,4748,3070
985,4240,1365
986,4788,3074
987,4893,2911
988,2232,1789
989,3490,3159
990,4111,2795
991,2568,1385
992,4640,1486
993,4445,2909
994,5056,2850
995,4962,1805
996,3103,3153
997,3580,2968
;;
998,2895,1653
999,3657,2082
1000,2932,2747
1001,4308,1799
1002,4145,2854
1003,4761,1143
1004,4077,1223
1005,4053,1665
1006,4826,1393
1007,4146,2403
1008,3340,2644
1009,3324,1298
1010,4095,1729
1011,2295,2422
1012,3604,1770
1013,3761,1895
1014,3519,2244
1015,2858,3090
1016,4710,2702
1017,2557,2766
1018,3978,2778
1019,5224,2178
1020,4358,988
1021,3414,2039
1022,2550,1243
1023,2407,1875
1024,2849,2721
1025,3388,2354
1026,3793,3105
1027,4463,1670
1028,2336,2728
1029,3897,1630
1030,4943,1631
1031,2582,2833
1032,3034,2493
1033,2235,1914
1034,4648,2898
1035,4085,1467
1036,2331,1036
1037,2817,1703
1038,2255,1483
1039,3801,1126
1040,4479,3048
1041,5283,1528
1042,5265,1483
1043,2131,2466
1044,2156,2693
1045,2145,1523
1046,4230,2970
1047,3008,1948
1048,4684,1486
1049,4790,3001
1050,3712,1302
1051,4924,2945
1052,3388,1608
1053,3609,2880
1054,4683,2393
1055,4364,3007
1056,2327,1091
1057,3548,2455
1058,2525,2897
1059,5274,1090
1060,2959,2226
1061,3914,2776
1062,2601,1572
1063,2412,1902
1064,2332,1476
1065,4702,1406
1066,2739,1235
1067,5147,2820
1068,2112,1381
1069,3523,1836
1070,2530,2063
1071,2743,2545
1072,3042,2734
1073,2881,2727
1074,4196,1133
1075,5122,2099
1076,4365,3038
1077,3250,1736
1078,2218,1215
1079,3523,1921
1080,3832,1698
1081,4517,2696
1082,3756,1735
1083,3290,2562
1084,3265,2683
1085,4094,1195
1086,3228,2169
1087,2556,985
1088,2942,2373
1089,4494,1639
1090,3647,1482
1091,2557,1715
1092,2659,1150
1093,3066,1349
1094,4785,1539
1095,2520,2239
1096,4317,1799
1097,4736,2214
1098,3750,1701
1099,2982,1268
1100,4990,1737
1101,4081,2433
1102,4839,1179
1103,3822,1850
1104,4725,1013
