Request,Tiempo Actualizar,Tiempo Llave
1,4247,2507
2,2228,2676
3,3332,2000
4,3197,1268
5,3328,1446
6,1949,1461
7,2796,2089
8,2711,2697
9,3690,1109
10,3624,1670
11,4081,1761
12,2082,1926
13,4732,2098
14,3252,1795
15,3705,1911
16,3939,1197
17,3121,1158
18,3395,2551
19,2868,1528
20,2222,2101
21,4364,2103
22,3052,1090
23,2697,1344
24,4686,2676
25,3443,1176
26,2641,2029
27,2853,1241
28,4431,1503
29,2746,2409
30,2317,1665
31,3938,1990
32,3998,1689
33,2551,1929
34,1995,1772
35,4503,935
36,3360,2535
37,4032,1131
38,4063,2512
39,4226,1350
40,3227,2117
41,4048,1149
42,4655,2917
43,3188,2157
44,3748,2443
45,2599,1112
46,2161,1286
47,4124,1253
48,2656,1133
49,1952,2940
50,4535,1034
51,4369,2683
52,4257,1493
53,2231,1353
54,3535,1737
55,2631,1714
56,1922,2289
57,2546,1474
58,4417,2009
59,2766,2694
60,2050,990
61,4580,1079
62,3907,1699
63,3392,2300
64,1906,2209
65,2059,1556
66,2556,1677
67,4040,1765
68,3423,1285
69,3806,2833
-,-,-
70,3341,1707
71,4266,1083
72,4621,1213
73,3932,2602
74,3229,1884
75,2593,1974
76,4612,2819
77,3960,1895
78,2093,994
79,3476,1616
80,2212,1241
81,2853,1644
82,4520,1440
83,4459,1544
84,2819,2894
85,3612,1603
86,2887,1007
87,4460,1028
88,3234,1954
89,2050,1698
90,3150,1456
91,4224,2749
92,3666,1408
93,4213,1509
94,2989,1389
95,4199,1500
96,2999,2412
97,2528,1377
98,3344,2260
99,4272,1507
100,4672,1158
101,3802,1880
102,4713,2687
103,3381,1758
104,2871,2332
105,2140,2351
106,2706,1891
107,4503,1811
108,4251,1745
109,2895,2351
110,2631,2740
111,2567,1959
112,4541,1950
113,3006,1617
114,4215,1403
115,3228,2309
116,2725,2711
117,2109,2784
118,2096,2870
119,3452,2696
120,3183,2316
121,2602,2120
122,3197,1252
123,4326,1199
124,4373,2831
125,2480,1452
126,3652,1616
127,4620,1540
128,2140,2200
129,4758,1109
130,3467,2453
131,2348,1038
132,2022,1412
133,2304,2269
134,4229,990
135,2286,1574
136,2232,2837
137,2177,1500
138,2373,1122
139,4314,1066
140,2900,1903
141,1994,2881
142,3900,1596
143,4051,2191
-,-,-
144,2465,1125
145,4180,1885
146,3301,2630
147,3030,1374
148,2700,1238
149,3498,2486
150,2780,1932
151,3499,2381
152,3763,2683
153,3661,1407
154,3990,1672
155,3165,2038
156,4476,2137
157,3641,2887
158,3818,2330
159,2861,2426
160,3920,2425
161,2483,1393
162,2004,1280
163,3522,1886
164,2077,2004
165,4744,1671
166,2955,2432
167,1963,2865
168,4051,1195
169,4558,2206
170,4487,1185
171,3098,1737
172,4579,2659
173,3268,2404
174,2148,2751
175,3650,2694
176,3607,1046
177,3241,1465
178,2883,2205
179,4189,2565
180,3780,2341
181,4610,2554
182,1943,982
183,3040,1621
184,4066,1093
185,3438,2778
186,2637,1653
187,3057,1398
188,3190,2539
189,2266,1673
190,3348,1494
