Request,Tiempo Actualizar,Tiempo Llave
1,202,797
2,202,828
3,218,906
4,203,1084
5,234,843
6,249,828
7,250,1115
8,297,844
10,218,204
9,282,203
11,281,204
12,250,266
13,281,203
14,249,438
15,250,531
16,203,718
17,203,203
18,203,204
19,203,203
20,281,203
21,202,485
22,203,203
23,203,204
24,219,203
25,234,203
26,188,218
27,297,203
28,220,1030
29,203,406
30,203,220
31,203,220
32,203,219
33,203,203
34,203,203
35,187,218
36,203,218
37,203,203
38,203,203
39,188,204
40,281,221
41,203,203
42,189,220
43,205,265
44,203,218
45,203,203
46,198,203
47,202,203
48,203,479
49,219,218
50,203,281
51,252,218
52,228,413
53,204,220
54,188,203
55,218,312
56,188,219
57,205,205
58,206,218
